Designator,Mid X,Mid Y,Layer,Rotation
SW5,19.81mm,-3.81mm,Top,0
USB1,0.13mm,35.05mm,Top,180
SJ1,-7.27mm,24.47mm,Top,180
F1,0.35mm,17.49mm,Top,180
R7,4.16mm,20.66mm,Top,180
R5,4.16mm,19.21mm,Top,180
D1,-3.97mm,-2.45mm,Top,90
R4,-3.97mm,-5.5mm,Top,90
C6,4.17mm,17.76mm,Top,180
C5,-3.69mm,10.86mm,Top,180
C4,-1.56mm,-2.45mm,Top,180
C2,2.13mm,-2.45mm,Top,180
Y1,0.35mm,-5.12mm,Top,0
C19,4.18mm,14.53mm,Top,90
U2,0.59mm,14.58mm,Top,0
D3,4.67mm,-2.45mm,Top,90
R6,4.67mm,-5.5mm,Top,90
C1,4.2mm,11.28mm,Top,180
C3,4.67mm,0.85mm,Top,90
R2,-3.46mm,20.66mm,Top,0
LED1,-3.47mm,17.83mm,Top,180
R11,-3.47mm,19.22mm,Top,0
C13,-3.47mm,14.57mm,Top,90
C10,-4.08mm,0.6mm,Top,90
D2,0.35mm,19.29mm,Top,180
JP7,-7.24mm,8mm,Top,90
JP6,8mm,8mm,Top,270
VR2,-11.29mm,-42.42mm,Top,270
VR1,11.57mm,-42.42mm,Top,270
VR3,-37.26mm,22.19mm,Top,135
VR4,-19.85mm,31.5mm,Top,0
SW1,16.05mm,34.49mm,Top,0
SW4,31.24mm,8.13mm,Top,45
SW3,41.91mm,18.8mm,Top,45
SW2,52.58mm,29.21mm,Top,45
U3,0.35mm,6.69mm,Top,315