ID,Name,Designator,Footprint,Quantity
1,22pF,"C2,C4",0603-CAP,2
2,0.1uF,"C1,C3",0603-CAP,2
3,1uF,"C5,C6,C10",0603-CAP,3
4,10uF,"C13,C19",EIA3216,2
5,Yellow,D1,LED-0603,1
6,DIODESOD,D2,SOD-323,1
7,Green,D3,LED-0603,1
8,500mA,F1,PTC-1206,1
9,FRAME-LETTER,FRAME1,CREATIVE_COMMONS,1
10,M12PTH,"JP6,JP7",1X12,2
11,Red,LED1,LED-0603,1
12,10K,R2,0603-RES,1
13,22,"R5,R7",0603-RES,2
14,330,"R4,R6",0603-RES,2
15,1K,R11,0603-RES,1
16,LATCHING BUTTON,SW1,LATCHING BUTTON 8X8 6PIN BANDARRA,1
17,6x6 PushButton,"SW2,SW3,SW4,SW5",KEY-6.0*6.0-2,4
18,MIC5219,U2,SOT23-5,1
19,ATMEGA32U4,U3,QFN-44-NOPAD_1:1-OUTFAKES,1
20,USB Type B,USB1,USB-M-49,1
21,PTA6045,"VR1,VR2",PTA6043,2
22,PTA4530,VR3,PTA4530 B10K BANDARRA,1
23,POT B10K 1209,VR4,POT B10K 1209,1
24,16MHz,Y1,CRYSTAL-SMD-5X3,1